line,title,description,category,cypher_examples,source_file,authority_level,quality_tier,review_status,reviewer_notes
53,Cross Product Cypher queries will not perform well,"Just like SQL, if you do not properly connect the parts of your query, it will result in a cross (cartesian) product, which is seldom what you want.",cypher,"MATCH (p:Person), (m:Movie)
RETURN p, m;",articles\modules\ROOT\pages\cross-product-cypher-queries-will-not-perform-well.adoc,1,high,,
54,Using Cypher how do I determine the version and edition of Neo4j,If you want to determine version and edition of the running Neo4j instance this can be accomplished via running the following cypher:,cypher,"call dbms.components() yield name, versions, edition unwind versions as version return name, version, edition;",articles\modules\ROOT\pages\cypher-to-determine-version-and-edition-of-neo4j.adoc,1,high,,
55,Importing Data to Neo4j in the Cloud,"Loading data in a Neo4j instance that is in the cloud is very similar to running Neo4j using any other method. However, there are a few small things to look out for and keep in mind when importing dat",cypher,,articles\modules\ROOT\pages\data-import-for-cloud.adoc,1,medium,,
56,Database Compaction in 4.0 using Neo4j-admin copy,This article demonstrates using the neo4j-admin copy tool to reclaim un-used space occupied by neo4j store files.,cypher,,articles\modules\ROOT\pages\database-compaction-in-40-using-neo4j-admin-copy.adoc,1,medium,,
57,"Database was successfully initialized, but failed to start",Sometimes when the database does not start it could be something as simple as unnecessary characters in the neo4j.conf file. For example if you add space and/or tab characters to below setting:,security,,articles\modules\ROOT\pages\database-was-successfully-initialized-but-failed-to-start.adoc,1,low,,
58,Debian: apt-get failing to update Neo4j,The common cause is an out of date gpg key.,security,,articles\modules\ROOT\pages\debian-apt-get-failing-to-update-neo4j.adoc,1,low,,
59,Debian / Ubuntu: How to enforce a certain version of neo4j when using debian packages,If you want to run a specific version of Neo4j and install the software via a https://neo4j.com/docs/operations-manual/current/installation/linux/debian/#debian[debian repository^] you need to use a t,security,,articles\modules\ROOT\pages\debian-ubuntu-version-apt-pinning.adoc,1,low,,
60,Deploying Neo4j on AWS Using CloudFormation,"This page describes how to use CloudFormation to deploy Neo4j clusters on AWS, using Virtual",security,,articles\modules\ROOT\pages\deploy-aws-cloudformation.adoc,1,low,,
61,How to diagnose locking issues,Since Neo4j 3.4 it's possible to better understand locking issues caused by concurrent query. This KB article will not detail the basics,cypher,,articles\modules\ROOT\pages\diagnose-locking-issues.adoc,1,medium,,
62,Diagnose storage performance issues,"Slow storage can affect Neo4j performance, therefore we recommend using Solid State Drives in the https://neo4j.com/docs/operations-manual/current/performance/disks-ram-and-other-tips/#performance-sto",performance,,articles\modules\ROOT\pages\diagnose-storage-performance-issues.adoc,1,medium,,
63,Diagnosing network latency in a Causal Cluster using MTR,MTR is a simple ICMP based test combining ping and traceroute. The following demonstrates usage of the MTR trace tool to,security,,articles\modules\ROOT\pages\diagnosing-network-latency-in-a-causal-cluster-using-mtr.adoc,1,low,,
64,Displaying Query CPU Utilization and Allocated Bytes in Query log,"In Neo4j 3.3 and prior versions, when query logging is enabled with the following configuration parameters:",cypher,,articles\modules\ROOT\pages\displaying-cpu-utilization-and-allocated-bytes-in-query-log.adoc,1,medium,,
65,Neo4j Docker image cannot run on kubernetes as non root user,In Kubernetes (K8S) various levels of security can be set which apply cluster-wide to Pods running containers.,security,,articles\modules\ROOT\pages\docker-image-cannot-run-on-kubernetes-as-non-root-user.adoc,1,low,,
66,"Docker ""Permission Denied"" Error","When a docker instance is started, one could get a permission denied error such as",security,,articles\modules\ROOT\pages\docker-permission-denied.adoc,1,low,,
67,Dump the Contents of a Transaction Log,"If there is a need to look through the transaction logs, particularly to see if/when a node or relationship (or property) with a given ID was touched, you will need to dump the log using the `DumpLogi",modeling,,articles\modules\ROOT\pages\dump-the-contents-of-a-transaction-log.adoc,1,medium,,
68,Embed neo4j-enterprise within your java application,The link:https://neo4j.com/docs/java-reference/3.5/[Neo4j Java Reference Documentation] generally describes how to embed Neo4j Community Edition within your Java application. If you are licensed for N,security,,articles\modules\ROOT\pages\embed-neo4j-enterprise-within-your-java-application.adoc,1,medium,,
69,Enabling GC Logging,A garbage collection event is a complete pause of the java application (ie: neo4j-server).,performance,,articles\modules\ROOT\pages\enabling-gc-logging.adoc,1,medium,,
70,Enabling TLSv1.2 with IBM JDK9,"Neo4j 3.4.0 only supports TLSv1.2 by default. IBM JDK9 uses the TLSv1 protocol by default. When attempting to run cypher-shell, users will be unable to connect to Neo4j.",cypher,,articles\modules\ROOT\pages\enabling-tlsv1-2-with-ibm-jdk9.adoc,1,medium,,
71,Enabling Transaction Timeout Within Application,"There is a `dbms.transaction.timeout` global setting on Neo4j that can be set in `neo4j.conf` file so if any query from any user exceeds the timeout threshold specified, that query is terminated.",cypher,,articles\modules\ROOT\pages\enabling-transaction-timeout-within-application.adoc,1,medium,,
72,Executing Neo4j ETL from an RDBMS database running on Docker,"Following provides some examples of importing a test csv data into Neo4j, using the Neo4j ETL tool's command line interface",security,,articles\modules\ROOT\pages\executing-neo4j-etl-from-an-rdbms-database-running-on-docker.adoc,1,low,,
73,"Explanation of the ""consumed after"" message in query results","After successfully executing a query through the Neo4j Browser or cypher-shell, you may see a message formatted as follows accompanying the query results:",cypher,,articles\modules\ROOT\pages\explanation-of-consumed-after-message-in-query-results.adoc,1,medium,,
74,"Explanation of data/log/console.log error of 'TLS certificate error occurred, unable to start server: Neither RSA, DSA nor EC worked...'",On `bin/neo4j start` the `data/log/console.log` may log an error similar to,security,,articles\modules\ROOT\pages\explanation-of-data-log-console-log-error-of-tls-certificate.adoc,1,low,,
75,Explantion of debug.log message of Commits found after last checkpoint,When running backup for example,cypher,,articles\modules\ROOT\pages\explanation-of-debug-log-message-of-commits-found-after-last-check-point.adoc,1,low,,
76,"Explanation of error ""Cannot merge node using null property value for""","When running a https://neo4j.com/docs/cypher-manual/current/clauses/merge/[MERGE], which is a combination of MATCH and/or CREATE one may",cypher,"load csv with headers from 'file:///test.csv' as row 
merge (emp:Employee {id: row.id}) set emp.name=row.name, emp.employee_numer=row.employee_number; | load csv with headers from 'file:///test.csv' as row  with row where row.id is not null 
merge (emp:Employee {id: row.id}) set emp.name=row.name, emp.employee_numer=row.employee_number;",articles\modules\ROOT\pages\explanation-of-error-cannot-merge-node-using-null-property-value.adoc,1,high,,
77,"Explanation of error ""Database constraints have changed (txId=xxxxx) after this transaction (txId=yyyyy) started, which is not yet supported""","The following error, via `bin/neo4j-shell`:",security,,articles\modules\ROOT\pages\explanation-of-error-database-constraints-have-changed-txid-84-after-this-transaction-txid-81-started.adoc,1,low,,
78,Explanation of Error: db fails to start with Caused by: org.neo4j.token.api.NonUniqueTokenException: The PropertyKey NamedToken,When attempting to start Neo4j and one is running a Neo4j 4.0.x release and where `x` is <=2 the following error may be,security,,articles\modules\ROOT\pages\explanation-of-error-db-fails-to-start-with-caused-by-org-neo4j-token-api-nonuniqueyokenexception-the-propertykey-namedtoken.adoc,1,medium,,
79,"Explanation of error ""DeadlockDetectedException: ForsetiClient[0] can't acquire ExclusiveLock... ...""",Under specific scenarios a DeadlockDetectedException may be encountered and the behavior is described at,security,,articles\modules\ROOT\pages\explanation-of-error-deadlockdetectedexception-forseticlient-0-cant-acquire-exclusivelock.adoc,1,low,,
80,"Explanation of error ""Failed to obtain connection towards WRITE server. Known routing table is: Ttl...""","In Neo4j 4.0, if you are logged into the `READ_REPLICA` of a Causal Cluster, and execute the following command to login into `cypher-shell`:",cypher,,articles\modules\ROOT\pages\explanation-of-error-failed-to-obtain-connection-towards-write-server.adoc,1,medium,,
81,"Explanation of error ""java.lang.NoClassDefFoundError: org/apache/spark/sql/sources/v2/ReadSupport""","In Neo4j 4.x, if you are using the Databricks Run-time of Spark and the neo4j-spark-connector.",security,,articles\modules\ROOT\pages\explanation-of-error-java-lang-noclassdeffounderror-readsupport.adoc,1,low,,
82,"Explanation of error ""javax.net.ssl.SSLException: Received fatal alert: certificate_unknown""","When connecting to a Neo4j instance with the Neo4j Browser, the following error may be logged in the `$NEO4J_HOME\logs\debug.log`",security,,articles\modules\ROOT\pages\explanation-of-error-javax-net-ssl-sslexception-received-fatal-alert-certificate-unknown.adoc,1,low,,
83,"Explanation of error LOAD CSV error of ""Couldn't load the external resource ...""","When running a `LOAD CSV` Cypher statement, for example",cypher,"LOAD CSV WITH HEADERS FROM ""http://10.12.1.2/Neo4j/cities.csv"" AS row WITH row create (c:cities {name:row.city});",articles\modules\ROOT\pages\explanation-of-error-load-csv-error-of-couldnt-load-the-external-resource.adoc,1,high,,
84,Explanation of error NoClassDefFoundError: org/neo4j/kernel/impl/util/JobScheduler,"Upon upgrading to Neo4j 3.3, if you were previously using https://github.com/neo4j-contrib/neo4j-apoc-procedures[APOC], and",security,,articles\modules\ROOT\pages\explanation-of-error-noclassdeffounderror-org-neo4j-kernel-impl-util-jobscheduler.adoc,1,medium,,
85,Explanation of error on session connection using uniform drivers,"As described by http://neo4j.com/docs/developer-manual/current/drivers/#_trust, when establishing an encrypted connection, it needs to be verified that the remote peer is who we expected to connect to",security,,articles\modules\ROOT\pages\explanation-of-error-on-session-connection-using-uniform-drivers.adoc,1,medium,,
86,"Explanation of error: procedure is not available due to having restricted access rights, check configuration","Commencing with Neo4j 3.2 when running a stored procedure, for example",cypher,call apoc.warmup.run();,articles\modules\ROOT\pages\explanation-of-error-procedure-is-not-available-due-to-having-restricted-access-rights-check-configuration.adoc,1,high,,
87,"Explanation of error ""Record id 65536 is out of range [0, 65535]""","When running a Cypher statement that creates a new relationship type, for example",cypher,MERGE (n1:Person {id:1})-[r:knows]->(n2:Person {id:2}) | call db.relationshipTypes() yield relationshipType return count(relationshipType) as numRelTypes;,articles\modules\ROOT\pages\explanation-of-error-record-id-65536-is-out-of-range.adoc,1,high,,
88,"Explanation of error ""Security Error: 18"" when using Internet Explorer and Neo4j Browser","When connecting to the Neo4j Browser `http://localhost:7474` and using Internet Explorer 11,",cypher,,articles\modules\ROOT\pages\explanation-of-error-security-error-18-when-using-internet-explorer-and-neo4j-browser.adoc,1,medium,,
89,"Explanation of error ""Unrecognized transaction id. Transaction may have timed out and been rolled back""","When submitting a request via the http://neo4j.com/docs/stable/rest-api-transactional.html[Neo4j Transactional Cypher HTTP endpoint], one may encounter the following error",cypher,,articles\modules\ROOT\pages\explanation-of-error-unrecognized-transaction-id-transaction-may-have-timed-out-and-been-rolled-back.adoc,1,medium,,
90,"Explanation of error ""WebSocket connection failure. Due to security constraints in your web browser, the reason for the failure is not available to this Neo4j Driver...","In Neo4j 3.0 and its implementation of the Bolt protocol, if a remote browser connects to Neo4j (http://<remote_neo4j_host>:7474) and attempts to authenticate, the following error may be encountered:",security,,articles\modules\ROOT\pages\explanation-of-error-websocket-connection-failure.adoc,1,medium,,
91,Explanation of lucene-1.0: Too many open files error,If one encounters a 'Too many open files' error in their $NEO4J_HOME/logs/debug.log similar to,modeling,,articles\modules\ROOT\pages\explanation-of-lucene-1-0-too-many-open-files-error.adoc,1,medium,,
92,"Explanation of start failure ""java.lang.NoClassDefFoundError: org/neo4j/kernel/impl/logging/LogService""",Upon starting Neo4j 3.5 if one encounters the following error in the `logs/neo4j.log`,security,,articles\modules\ROOT\pages\explanation-of-start-failure-noclassdeffounderror-org-neo4j-kernel-impl-logging-logservice.adoc,1,low,,
