line,name,description,when_to_use,anti_pattern,cypher_examples,node_labels,relationship_types,source_file,authority_level,review_status,reviewer_notes
11,Subqueries in Cypher,"Building on the previous Cypher guides, this guide shows how to write subqueries.",,,"CREATE (diana:Person {name: ""Diana""})-[:LIKES]->(query:Technology {type: ""Query Languages""})
CREATE (melissa:Person {name: ""Melissa"", twitter: ""@melissa""})-[:LIKES]->(query)
CREATE (dan:Person {name: ""Dan"", twitter: ""@dan"", yearsExperience: 6})-[:LIKES]->(etl:Technology {type: ""Data ETL""})<-[:LIKES]-(melissa)
CREATE (xyz:Company {name: ""XYZ""})<-[:WORKS_FOR]-(sally:Person {name: ""Sally"", yearsExperience: 4})-[:LIKES]->(integrations:Technology {type: ""Integrations""})<-[:LIKES]-(dan)
CREATE (sally)<-[:IS_FRIENDS_WITH]-(john:Person {name: ""John"", yearsExperience: 5, birthdate: ""1985-04-04""})-[:LIKES]->(java:Technology {type: ""Java""})
CREATE (john)<-[:IS_FRIENDS_WITH]-(jennifer:Person {name: ""Jennifer"", twitter: ""@jennifer"", yearsExperience: 5, birthdate: ""1988-01-01""})-[:LIKES]->(java)
CREATE (john)-[:WORKS_FOR]->(xyz)
CREATE (sally)<-[:IS_FRIENDS_WITH]-(jennifer)-[:IS_FRIENDS_WITH]->(melissa)
CREATE (joe:Person {name: ""Joe"", birthdate: ""1988-08-08""})-[:LIKES]->(query)
CREATE (mark:Person {name: ""Mark"", twitter: ""@mark""})
CREATE (ann:Person {name: ""Ann""})
CREATE (x:Company {name: ""Company X""})<-[:WORKS_FOR]-(diana)<-[:IS_FRIENDS_WITH]-(joe)-[:IS_FRIENDS_WITH]->(mark)-[:LIKES]->(graphs:Technology {type: ""Graphs""})<-[:LIKES]-(jennifer)-[:WORKS_FOR]->(:Company {name: ""Neo4j""})
CREATE (ann)<-[:IS_FRIENDS_WITH]-(jennifer)-[:IS_FRIENDS_WITH]->(mark)
CREATE (john)-[:LIKES]->(:Technology {type: ""Application Development""})<-[:LIKES]-(ann)-[:IS_FRIENDS_WITH]->(dan)-[:WORKS_FOR]->(abc:Company {name: ""ABC""})
CREATE (ann)-[:WORKS_FOR]->(abc)
CREATE (a:Company {name: ""Company A""})<-[:WORKS_FOR]-(melissa)-[:LIKES]->(graphs)<-[:LIKES]-(diana)
CREATE (:Technology {type: ""Python""})<-[:LIKES]-(:Person {name: ""Ryan""})-[:WORKS_FOR]->(:Company {name: ""Company Z""}) | MATCH (p:Person)-[r:IS_FRIENDS_WITH]->(friend:Person)
WHERE exists((p)-[:WORKS_FOR]->(:Company {name: 'Neo4j'}))
RETURN p, r, friend","Company, IS, LIKES, Person, Technology, WORKS","IS_FRIENDS_WITH, LIKES, WORKS_FOR",modules\ROOT\pages\cypher\subqueries.adoc,1,,
12,Updating the graph,"This guide explains how to update data that already exists in a graph, using Cypher.","Conclusion

In this tutorial, you have seen how to update nodes, relationships, and properties. 
You have also seen how to delete data from the graph as well as how to avoid duplication when adding ne","Conclusion

In this tutorial, you have seen how to update nodes, relationships, and properties. 
You have also seen how to delete data from the graph as well as how to avoid duplication when adding ne","MATCH (:Person {name: 'Jennifer'})-[rel:WORKS_FOR]-(:Company {name: 'Neo4j'})
SET rel.startYear = date({year: 2018})
RETURN rel | MATCH (a:Person {name: 'Ann'})
MATCH (m:Person {name: 'Mark'})
MERGE (a)-[r:IS_FRIENDS_WITH]->(m)
RETURN a, r, m","Company, IS, LIKES, Person, Technology, WORKS","IS_FRIENDS_WITH, LIKES, WORKS_FOR",modules\ROOT\pages\cypher\updating.adoc,1,,
13,Working with CSV files,This page gives an overview of what is a dataset in CSV format and how to work with it when importing it into Neo4j.,"Optimization

Performance can be a problem when working with large amounts of data or complex loading.
Some strategies can, however, improve the processing of large amounts of information.

For exampl","File preparation

Before you import CSV data you should consider the *source* of the data.
It can come from:

* Relational databases
* Web APIs
* Public data directories
* BI tools
* Speadsheets (e.g.",,"Company, Employee, HAS, Java, JavaScript, Skill, WORKS",WORKS_FOR,modules\ROOT\pages\data-import\csv-files.adoc,1,,
14,Tutorial: Import data from a relational database into Neo4j,This tutorial shows the process for exporting data from a relational database (PostgreSQL) and importing into a graph database (Neo4j). You will learn how to take data from the relational system and t,"Creating the indexes and constraints for the data in the graph

After the nodes are created, you need to create the relationships between them.
Importing the relationships will mean looking up the nod","Creating the relationships between the nodes

Next you have to create relationships:

. Between Orders and Employees.
. Between Products and Suppliers and between Products and Categories.
. Between Em","// Create orders
LOAD CSV WITH HEADERS FROM 'https://gist.githubusercontent.com/jexp/054bc6baf36604061bf407aa8cd08608/raw/8bdd36dfc88381995e6823ff3f419b5a0cb8ac4f/orders.csv' AS row
MERGE (order:Order {orderID: row.OrderID})
  ON CREATE SET order.shipName = row.ShipName; | MATCH (o:Order) return o LIMIT 5;","Andrew, Aniseed, Beverages, Breads, Buchanan, CONTAINS, Category, Chai, Chang, Cheeses, Chef, Condiments, Confections, Cooperativa, Dairy, Davolio, Desserts, Employee, Exotic, Fuller, Grains, Grandma, Hanari, Janet, Leverling, Margaret, Nancy, New, Northwind, Order, PART, Peacock, Product, REPORTS, SOLD, SUPPLIES, Sales, Soft, Steven, Supplier, Supr, Sweet, Tokyo, Toms, Vice, Victuailles, Vins","CONTAINS, PART_OF, REPORTS_TO, SOLD, SUPPLIES",modules\ROOT\pages\data-import\import-relational-and-etl.adoc,1,,
15,Import: RDBMS to graph,This article shows the different ways you can import data from a relational database to Neo4j. Completing this guide will give you the tools to choose how to import your relational data and transform ,"ETL Tool

Neo4j's ETL tool provides a simple GUI that allows you to load data from nearly any type of relational database to a Neo4j instance.
The process has you set up a JDBC connection to nearly an",,,,,modules\ROOT\pages\data-import\relational-to-graph-import.adoc,1,,
16,Supply chain tracking,"Model supply chain visibility with Supplier, Product, Warehouse, and Shipment nodes. Track procurement, inventory, and logistics as a connected graph for multi-supplier risk analysis and delivery trac","When you need end-to-end supply chain visibility: supplier sourcing, inventory management across warehouses, shipment tracking, and lead time analysis. Graph queries excel at multi-hop supplier depend","Do not model shipment details as properties on Product nodes. Shipments are events with their own lifecycle (status, carrier, dates) and should be separate nodes connected via SHIPPED_VIA relationship","MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)-[:STORED_IN]->(w:Warehouse)
WHERE w.location = $location
RETURN s.name, p.name, w.location | MATCH (p:Product)-[:SHIPPED_VIA]->(sh:Shipment)
WHERE sh.status = 'delayed'
RETURN p.sku, sh.carrier, sh.shipped_at","Supplier, Product, Warehouse, Shipment","SUPPLIES, STORED_IN, SHIPPED_VIA",curated/industry_patterns,2,,
17,Social network graph,"Model social interactions with Person, Post, and Community nodes. Directional FOLLOWS relationships enable feed algorithms, AUTHORED links content to creators, and MEMBER_OF supports community feature","When building social features: follower feeds, content recommendations, community detection, influence scoring. Graph traversal naturally handles friend-of-friend queries and mutual connection analysi",Do not store follower lists as arrays on Person nodes. FOLLOWS should be a relationship so you can traverse the social graph efficiently. Avoid bidirectional FRIENDS_WITH when the relationship is inhe,"MATCH (me:Person {id: $userId})-[:FOLLOWS]->(friend)-[:AUTHORED]->(post:Post)
WHERE post.created_at > datetime() - duration('P7D')
RETURN post ORDER BY post.created_at DESC LIMIT 20 | MATCH (a:Person)-[:FOLLOWS]->(mutual)<-[:FOLLOWS]-(b:Person)
WHERE a.id = $userId AND NOT (a)-[:FOLLOWS]->(b)
RETURN b.name, count(mutual) AS mutual_friends ORDER BY mutual_friends DESC","Person, Post, Community","FOLLOWS, AUTHORED, MEMBER_OF",curated/industry_patterns,2,,
18,Fraud detection graph,"Model financial fraud detection with Customer, Account, Transaction, and Device nodes. Graph structure reveals fraud rings through shared devices, circular transaction chains, and unusual account rela","When detecting financial fraud: transaction monitoring, fraud ring identification, device fingerprint analysis, KYC/AML compliance. Graph queries find patterns that relational databases miss.","Do not model transactions as properties on Account nodes. Each transaction is an event connecting sender and receiver accounts. Device should be a separate node, not a property, to detect device shari","MATCH (a1:Account)-[:USED_DEVICE]->(d:Device)<-[:USED_DEVICE]-(a2:Account)
WHERE a1 <> a2 AND NOT (a1)<-[:OWNS]-(:Customer)-[:OWNS]->(a2)
RETURN d.fingerprint, collect(DISTINCT a1.iban) + collect(DISTINCT a2.iban) AS suspicious_accounts | MATCH path = (a:Account)-[:SENT]->(:Transaction)-[:RECEIVED]->(b:Account)-[:SENT]->(:Transaction)-[:RECEIVED]->(a)
WHERE a.id = $accountId
RETURN path","Customer, Account, Transaction, Device","OWNS, SENT, RECEIVED, USED_DEVICE",curated/industry_patterns,2,,
19,E-commerce product catalog,"Model e-commerce with Customer, Product, Category, and Review nodes. PURCHASED captures buying behavior, BELONGS_TO organizes taxonomy, and REVIEWED enables recommendation engines based on graph simil","When building product recommendations, catalog browsing, or customer behavior analysis. Graph-based collaborative filtering outperforms table joins at scale.",Do not flatten category hierarchy into a single level. Use CHILD_OF relationships between Category nodes for multi-level taxonomy. Do not store reviews as properties on Product.,"MATCH (c:Customer)-[:PURCHASED]->(p:Product)<-[:PURCHASED]-(other:Customer)-[:PURCHASED]->(rec:Product)
WHERE c.id = $customerId AND NOT (c)-[:PURCHASED]->(rec)
RETURN rec.name, count(other) AS score ORDER BY score DESC LIMIT 10 | MATCH (p:Product)-[:BELONGS_TO]->(cat:Category)
OPTIONAL MATCH (p)<-[r:REVIEWED]-()
RETURN cat.name, count(DISTINCT p) AS products, avg(r.rating) AS avg_rating
ORDER BY products DESC","Customer, Product, Category, Review","PURCHASED, BELONGS_TO, REVIEWED, CHILD_OF",curated/industry_patterns,2,,
20,IT infrastructure dependency graph,"Model IT infrastructure with Server, Service, Network, and Incident nodes. RUNS_ON and DEPENDS_ON relationships enable impact analysis when a server goes down.","When building CMDB, incident management, or change impact analysis. Graph traversal answers what breaks if this server goes down via dependency chain analysis.",Do not model dependencies as a flat list on Service nodes. Dependencies are relationships that form chains. Only graph traversal can follow these chains efficiently.,"MATCH (s:Server {id: $serverId})<-[:RUNS_ON]-(svc:Service)<-[:DEPENDS_ON*1..3]-(affected:Service)
RETURN affected.name, length(shortestPath((s)<-[:RUNS_ON|DEPENDS_ON*]-(affected))) AS distance
ORDER BY distance | MATCH (i:Incident)-[:CAUSED_BY]->(s:Service)-[:RUNS_ON]->(srv:Server)
WHERE i.severity = 'critical' AND i.resolved_at IS NULL
RETURN srv.name, collect(s.name) AS affected_services, count(i) AS open_incidents","Server, Service, Network, Incident","RUNS_ON, DEPENDS_ON, CONNECTED_TO, CAUSED_BY",curated/industry_patterns,2,,
21,Healthcare patient journey,"Model patient care with Patient, Doctor, Diagnosis, and Treatment nodes. Graph queries identify treatment patterns, drug interactions via shared prescriptions, and care pathway compliance.","When building clinical decision support, patient outcome analysis, or treatment pathway optimization.","Do not model diagnoses as string properties on Patient. Each diagnosis is an event with its own ICD code, date, and treating physician.","MATCH (p:Patient)-[:DIAGNOSED_WITH]->(d:Diagnosis)<-[:DIAGNOSED_WITH]-(other:Patient)-[:PRESCRIBED]->(t:Treatment)
WHERE p.id = $patientId AND NOT (p)-[:PRESCRIBED]->(t)
RETURN t.name, count(other) AS similar_patients ORDER BY similar_patients DESC | MATCH (p:Patient)-[:TREATED_BY]->(doc:Doctor)
MATCH (p)-[:DIAGNOSED_WITH]->(d:Diagnosis)
WHERE d.icd_code STARTS WITH $icdPrefix
RETURN doc.name, count(DISTINCT p) AS patients, collect(DISTINCT d.icd_code) AS diagnoses","Patient, Doctor, Diagnosis, Treatment","TREATED_BY, DIAGNOSED_WITH, PRESCRIBED",curated/industry_patterns,2,,
22,Content management graph,"Model content publishing with Article, Author, Tag, and Publication nodes. Graph queries find related articles via shared tags and co-authorship, and enable content gap analysis.","When building CMS, content recommendation, or editorial workflow.",Do not store tags as a comma-separated string property. Each tag should be a node connected via TAGGED_WITH for tag co-occurrence queries.,"MATCH (a:Article)-[:TAGGED_WITH]->(t:Tag)<-[:TAGGED_WITH]-(related:Article)
WHERE a.id = $articleId AND related <> a
RETURN related.title, count(t) AS shared_tags ORDER BY shared_tags DESC LIMIT 5 | MATCH (author:Author)-[:AUTHORED]->(a:Article)-[:TAGGED_WITH]->(t:Tag)
RETURN author.name, collect(DISTINCT t.name) AS topics, count(a) AS articles
ORDER BY articles DESC","Article, Author, Tag, Publication","AUTHORED, TAGGED_WITH, PUBLISHED_IN",curated/industry_patterns,2,,
23,Organizational hierarchy,"Model corporate structure with Employee, Department, Role, and Project nodes. REPORTS_TO creates management chains, WORKS_IN links to departments, and ASSIGNED_TO connects people to projects.","When building org charts, resource planning, or project staffing tools. Graph traversal naturally handles who reports to whom chains.",Do not model the reporting chain as a manager_id property. REPORTS_TO relationships allow arbitrary depth traversal. Do not flatten departments into a single level if sub-departments exist.,"MATCH path = (e:Employee)-[:REPORTS_TO*]->(ceo:Employee)
WHERE e.id = $employeeId AND NOT (ceo)-[:REPORTS_TO]->()
RETURN [n IN nodes(path) | n.name] AS chain, length(path) AS levels | MATCH (e:Employee)-[:WORKS_IN]->(d:Department)
MATCH (e)-[:ASSIGNED_TO]->(p:Project)
RETURN d.name, count(DISTINCT e) AS headcount, collect(DISTINCT p.name) AS projects","Employee, Department, Role, Project","REPORTS_TO, WORKS_IN, ASSIGNED_TO, HAS_ROLE",curated/industry_patterns,2,,
